federal_state,administrative_district,district,verb,municipality,city,postal_code,area_m2,total_population,male_population,female_population,population_density_km2,municipality_type,rental_level,average_price_m2,price_index_housing_costs,longitude,latitude,Population_Difference,male_to_female_ratio
5,9,14,0,0,Hagen,58095,160.45,189783,92810,96973,1183,1.0,4.0,2814.674582352709,110.4,7.467406,51.360171,-4163,0.9570705247852495
12,0,54,0,0,Potsdam,14469,188.24,185750,89442,96308,987,1.0,3.0,4842.96,110.7,13.05358,52.400355,-6866,0.9287078955019313
10,0,41,100,100,Saarbrücken,66111,167.52,181959,90445,91514,1086,1.0,2.0,2204.5,109.2,6.995542,49.236608,-1069,0.9883187271892825
5,9,15,0,0,Hamm,59065,226.43,180849,89104,91745,799,1.0,3.0,2332.6821583030323,110.4,7.816947,51.678312,-2641,0.9712136901193525
7,3,14,0,0,Ludwigshafen am Rhein,67059,77.43,174265,87539,86726,2251,1.0,3.0,3132.0,109.8,8.447899,49.483235,813,1.0093743514055762
3,4,3,0,0,Oldenburg (Oldenburg),26122,103.09,172830,82742,90088,1676,1.0,1.0,3346.3439562822605,110.0,8.212993,53.140025,-7346,0.9184575082141906
5,1,17,0,0,Mülheim an der Ruhr,45468,91.28,172404,83069,89335,1889,1.0,2.0,2896.0,110.4,6.88505,51.428107,-6266,0.9298595175463145
3,4,4,0,0,Osnabrück,49074,119.8,167366,80755,86611,1397,1.0,4.0,3408.321228431276,110.0,8.04205,52.27692,-5856,0.9323873410998603
5,3,16,0,0,Leverkusen,51373,78.87,165748,80681,85067,2102,1.0,3.0,3293.5,110.4,6.979767,51.03245,-4386,0.9484406409065795
8,2,21,0,0,Heidelberg,69117,108.83,162273,77561,84712,1491,1.0,2.0,5176.5,109.5,8.705543,49.410524,-7151,0.9155845688922467
6,4,11,0,0,Darmstadt,64283,122.07,162243,82530,79713,1329,1.0,4.0,3211.1445514705556,109.8,8.653838,49.872238,2817,1.035339279665801
5,1,22,0,0,Solingen,42651,89.54,160643,78038,82605,1794,1.0,4.0,2720.0,110.4,7.085665,51.171718,-4567,0.9447127897827008
9,3,62,0,0,Regensburg,93047,80.86,157443,76690,80753,1947,1.0,4.0,4395.262920833069,110.5,12.101745,49.015249,-4063,0.949686079774126
5,9,16,0,0,Herne,44623,51.42,157368,77053,80315,3060,1.0,4.0,2166.0,110.4,7.222793,51.540365,-3262,0.9593849218701364
5,7,74,32,32,Paderborn,33098,179.59,154755,77098,77657,862,1.0,1.0,2468.6973102036936,110.4,8.757301,51.719601,-559,0.9928016791789536
5,1,62,24,24,Neuss,41460,99.52,154139,74536,79603,1549,1.0,4.0,3591.0,110.4,6.691409,51.198873,-5067,0.9363466201022574
9,1,61,0,0,Ingolstadt,85049,133.35,141029,71308,69721,1058,1.0,5.0,3369.2553448827384,110.5,11.423387,48.76542,1587,1.0227621520058519
6,4,13,0,0,Offenbach am Main,63065,44.88,134170,66650,67520,2990,1.0,6.0,4991.129399569894,109.8,8.764442,50.105567,-870,0.9871149289099526
