federal_state,administrative_district,district,verb,municipality,city,postal_code,area_m2,total_population,male_population,female_population,population_density_km2,municipality_type,rental_level,average_price_m2,price_index_housing_costs,longitude,latitude,Population_Difference,male_to_female_ratio
8,4,25,5005,33,Ehingen (Donau),89584,178.33,27276,13813,13463,153,0.5,2.0,2818.0,109.5,9.725211,48.283666,350,1.0259971774493055
5,1,70,12,12,Hamminkeln,46499,164.53,27248,13559,13689,166,0.5,3.0,2240.6821583030323,110.4,6.589158,51.730832,-130,0.9905033238366572
8,2,26,41,41,Leimen,69181,20.64,27142,13410,13732,1315,0.5,1.0,3459.0,109.5,8.688782,49.349054,-322,0.9765511214681037
12,0,65,144,144,Hohen Neuendorf,16540,48.56,27139,13235,13904,559,0.5,3.0,2214.9471737441054,110.7,13.279528,52.671291,-669,0.9518843498273878
5,3,82,48,48,Rheinbach,53359,69.72,27102,13617,13485,389,0.5,2.0,3262.5,110.4,6.947218,50.626425,132,1.0097886540600667
8,1,19,91,91,Weinstadt,71384,31.71,27088,13326,13762,854,0.5,3.0,3350.387111979806,109.5,9.385556,48.803451,-436,0.9683185583490772
8,2,26,5010,98,Wiesloch,69168,30.24,27049,13460,13589,894,0.5,2.0,3216.8946879301366,109.5,8.701276,49.293493,-129,0.9905070277430275
12,0,69,656,656,Werder (Havel),14542,117.12,27039,13267,13772,231,0.5,2.0,3711.0,110.7,12.934139,52.376456,-505,0.9633313970374673
6,4,31,11,11,Heppenheim (Bergstraße),64646,52.12,26946,13393,13553,517,0.5,4.0,2783.1445514705556,109.8,8.644017,49.641185,-160,0.9881944956836125
9,1,86,143,143,Pfaffenhofen a.d.Ilm,85276,92.63,26943,13381,13562,291,0.5,2.0,2843.778072733723,110.5,11.503851,48.529783,-181,0.9866538858575431
12,0,65,136,136,Hennigsdorf,16761,31.48,26728,13100,13628,849,0.5,4.0,2514.439597793782,110.7,13.209009,52.639059,-528,0.9612562371587907
5,1,58,12,12,Heiligenhaus,42579,27.52,26681,12984,13697,970,0.5,4.0,2829.5,110.4,6.966531,51.326038,-713,0.9479448054318463
7,1,31,7,7,Bad Neuenahr-Ahrweiler,53474,63.38,26669,12807,13862,421,0.5,5.0,2777.136975520225,109.8,7.120457,50.545218,-1055,0.923892656182369
15,0,89,15,15,Aschersleben,6449,156.36,26604,12749,13855,170,0.5,1.0,1112.5,110.7,11.455041,51.756034,-1106,0.9201732226632985
8,1,18,81,81,Remseck am Neckar,71686,22.82,26549,13213,13336,1163,0.5,2.0,3553.8946879301366,109.5,9.279445,48.87067,-123,0.9907768446310737
8,1,25,5008,65,Neckarsulm,74172,24.94,26495,13131,13364,1062,0.5,1.0,3640.5,109.5,9.223944,49.190147,-233,0.9825651002693804
8,3,17,5001,1,Achern,77855,65.24,26471,13158,13313,406,0.5,3.0,2755.387111979806,109.5,8.074429,48.628851,-155,0.9883572447983174
9,5,74,138,138,Lauf a.d.Pegnitz,91207,59.86,26420,12905,13515,441,0.5,4.0,2920.762920833069,110.5,11.278019,49.511562,-610,0.9548649648538661
6,4,33,6,6,Groß-Gerau,64521,54.47,26418,13154,13264,485,0.5,2.0,3308.0,109.8,8.482423,49.92162,-110,0.9917068757539204
8,2,36,5004,40,Mühlacker,75417,54.32,26394,13112,13282,486,0.5,3.0,2996.387111979806,109.5,8.8419,48.945605,-170,0.9872007227827134
6,4,32,23,23,Weiterstadt,64331,34.4,26322,13339,12983,765,0.5,3.0,3667.0,109.8,8.588464,49.905719,356,1.0274204729261343
7,3,39,5,5,Bingen am Rhein,55411,37.68,26309,12983,13326,698,0.5,2.0,2849.6597033712096,109.8,7.895132,49.96663,-343,0.9742608434639052
3,4,61,7,7,Nordenham,26954,87.77,26308,13060,13248,300,0.5,3.0,1502.0,110.0,8.484084,53.484863,-188,0.9858091787439613
9,5,73,134,134,Zirndorf,90513,28.79,26234,12806,13428,911,0.5,3.0,3288.2704967833924,110.5,10.956456,49.441541,-622,0.9536788799523384
5,9,78,32,32,Selm,59379,60.41,26163,12634,13529,433,0.5,2.0,2397.189734253363,110.4,7.468573,51.70035,-895,0.9338458126986473
5,3,82,8,8,Bad Honnef,53604,48.14,26061,12476,13585,541,0.5,1.0,3370.0,110.4,7.229126,50.643591,-1109,0.9183658446816342
5,7,70,20,20,Lübbecke,32312,65.04,26027,12707,13320,400,0.5,2.0,2092.689734253363,110.4,8.617351,52.303439,-613,0.953978978978979
5,7,54,16,16,Harsewinkel,33428,100.59,25999,13097,12902,258,0.5,1.0,2310.0,110.4,8.227621,51.963062,195,1.0151139358239032
9,7,76,116,116,Lindau (Bodensee),88131,33.06,25846,12490,13356,782,0.5,1.0,2991.7856486840537,110.5,9.661948,47.571583,-866,0.9351602276130578
1,0,59,75,75,Schleswig,24837,24.3,25832,12509,13323,1063,0.5,3.0,2681.5,109.4,9.566657,54.514941,-814,0.9389026495534039
9,4,77,128,128,Kulmbach,95326,92.77,25818,12442,13376,278,0.5,2.0,2779.278072733723,110.5,11.455614,50.10807,-934,0.9301734449760766
3,1,54,28,28,Helmstedt,38350,66.74,25779,12541,13238,386,0.5,1.0,2493.8439562822605,110.0,11.010462,52.227571,-697,0.9473485420758423
8,2,37,5003,40,Horb am Neckar,72160,119.76,25752,13063,12689,215,0.5,2.0,2259.5,109.5,8.692721,48.445165,374,1.0294743478603514
3,2,57,31,31,Rinteln,31737,109.02,25721,12598,13123,236,0.5,2.0,2276.33638033193,110.0,9.079841,52.186989,-525,0.959993903832965
8,1,36,5003,19,Ellwangen (Jagst),73479,127.38,25678,13017,12661,202,0.5,2.0,2641.0,109.5,10.131979,48.962988,356,1.0281178421925599
6,4,34,2,2,Friedrichsdorf,61381,30.13,25662,12536,13126,852,0.5,7.0,3229.6218236195637,109.8,8.641683,50.256846,-590,0.9550510437300015
9,1,73,126,126,Geretsried,82538,24.6,25623,12680,12943,1042,0.5,2.0,5620.0,110.5,11.482265,47.856254,-263,0.979680135980839
10,0,46,117,117,St. Wendel,66606,113.53,25583,12531,13052,225,0.5,1.0,2968.137248439387,109.2,7.173032,49.468359,-521,0.9600827459393196
6,4,39,8,8,Idstein,65510,79.76,25554,12196,13358,320,0.5,3.0,3267.5,109.8,8.233802,50.267277,-1162,0.9130109297799072
5,7,54,44,44,Verl,33415,71.37,25522,12792,12730,358,0.5,3.0,1985.1821583030323,110.4,8.508286,51.882118,62,1.0048703849175176
8,3,25,5003,49,Rottweil,78628,71.76,25513,12563,12950,356,0.5,5.0,2896.871960079152,109.5,8.627337,48.167866,-387,0.9701158301158301
5,9,58,12,12,Brilon,59929,229.16,25511,12623,12888,111,0.5,5.0,1495.5,110.4,8.568121,51.395499,-265,0.9794382371198014
15,0,87,370,370,Sangerhausen,6526,207.71,25441,12337,13104,122,0.5,2.0,1787.454749694436,110.7,11.298597,51.473662,-767,0.941468253968254
8,1,26,5005,66,Öhringen,74613,67.79,25388,12525,12863,375,0.5,3.0,3070.0,109.5,9.501119,49.200104,-338,0.9737230817072222
9,5,76,143,143,Roth,91154,96.33,25367,12263,13104,263,0.5,2.0,2672.778072733723,110.5,11.090664,49.244523,-841,0.9358211233211233
5,9,66,20,20,Lennestadt,57368,135.59,25352,12689,12663,187,0.5,6.0,1530.0,110.4,8.073677,51.103245,26,1.0020532259338228
5,3,74,48,48,Wiehl,51674,53.26,25314,12260,13054,475,0.5,1.0,2550.1973102036936,110.4,7.547029,50.949871,-794,0.9391757315765282
5,7,74,36,36,Salzkotten,33154,109.8,25311,12532,12779,231,0.5,2.0,1937.689734253363,110.4,8.604954,51.671701,-247,0.9806714140386572
6,4,38,10,10,Obertshausen,63179,13.62,25307,12486,12821,1858,0.5,1.0,3628.5,109.8,8.848662,50.072108,-335,0.9738709929022697
5,5,58,24,24,Lüdinghausen,59348,140.54,25259,12527,12732,180,0.5,5.0,2259.1670064023783,110.4,7.443711,51.770372,-205,0.9838988375746152
8,4,36,5005,82,Weingarten,88250,12.16,25257,12158,13099,2077,0.5,4.0,3993.0,109.5,9.640669,47.807399,-941,0.928162455149248
14,7,30,70,70,Delitzsch,4509,85.92,25244,12416,12828,294,0.5,2.0,1380.1013957730029,110.3,12.333551,51.52333,-412,0.9678827564702214
6,4,32,18,18,Pfungstadt,64319,42.54,25231,12470,12761,593,0.5,1.0,3404.0,109.8,8.597771,49.801774,-291,0.9771961445027819
5,7,70,28,28,Petershagen,32469,211.94,25222,12581,12641,119,0.5,5.0,1850.6670064023783,110.4,8.969816,52.378264,-60,0.9952535400680326
8,2,15,109,109,Stutensee,76297,45.68,25204,12478,12726,552,0.5,3.0,3616.0,109.5,8.470789,49.063748,-248,0.9805123369479806
3,4,52,19,19,Norden,26506,106.33,25179,12222,12957,237,0.5,1.0,2062.3439562822605,110.0,7.202462,53.59498,-735,0.9432739059967585
5,7,70,8,8,Espelkamp,32339,84.21,25174,12223,12951,299,0.5,1.0,1668.5,110.4,8.632644,52.377427,-728,0.943788124469153
8,1,18,11,11,Ditzingen,71254,30.38,25145,12499,12646,828,0.5,3.0,3267.387111979806,109.5,9.068779,48.827632,-147,0.9883757709947809
15,0,82,180,180,Köthen (Anhalt),6366,77.44,25116,12190,12926,324,0.5,2.0,1182.5,110.7,11.973406,51.751224,-736,0.9430604982206405
5,9,66,24,24,Olpe,57462,85.88,25015,12387,12628,291,0.5,6.0,2305.1594304520477,110.4,7.843584,51.02756,-241,0.9809154260373772
5,9,62,52,52,Plettenberg,58840,96.75,24954,12392,12562,258,0.5,6.0,1484.0,110.4,7.874142,51.212418,-170,0.986467123069575
1,0,62,4,4,Bad Oldesloe,23843,52.59,24935,12195,12740,474,0.5,2.0,2884.806349449769,109.4,10.373196,53.810046,-545,0.957221350078493
5,9,58,40,40,Schmallenberg,57392,303.1,24878,12567,12311,82,0.5,3.0,1599.5,110.4,8.285496,51.153811,256,1.020794411501909
5,3,82,32,32,Meckenheim,53340,34.84,24877,12059,12818,714,0.5,3.0,2922.6821583030323,110.4,7.022259,50.622043,-759,0.9407863941332502
5,9,54,28,28,Sprockhövel,45549,47.94,24838,12002,12836,518,0.5,2.0,2827.5,110.4,7.244016,51.361402,-834,0.935026488002493
3,2,51,41,41,Syke,28857,128.11,24810,12189,12621,194,0.5,2.0,2156.83638033193,110.0,8.816336,52.914548,-432,0.9657713334917993
14,6,26,610,610,Zittau,2763,66.75,24794,12224,12570,371,0.5,4.0,1832.0862438723489,110.3,14.764425,50.917489,-346,0.9724741447891806
16,0,73,76,76,Rudolstadt,7407,135.18,24749,12014,12735,183,0.5,1.0,1644.0,110.9,11.343567,50.721635,-721,0.9433843737730664
16,0,66,5050,42,Meiningen,98617,105.64,24745,12151,12594,234,0.5,2.0,2412.1314266551562,110.9,10.236161,50.562031,-443,0.9648245196125139
5,9,74,44,44,Warstein,59581,158.05,24647,12287,12360,156,0.5,2.0,1564.0,110.4,8.353834,51.442787,-73,0.9940938511326861
8,3,37,5007,126,Waldshut-Tiengen,79761,77.96,24605,12088,12517,316,0.5,4.0,2946.8795360294826,109.5,8.271113,47.632439,-429,0.9657266118079412
12,0,63,252,252,Rathenow,14712,113.1,24597,11927,12670,217,0.5,2.0,1778.5,110.7,12.332831,52.60768,-743,0.9413575374901342
3,2,41,14,14,Ronnenberg,30952,37.82,24570,12151,12419,650,0.5,3.0,2602.328804381599,110.0,9.653235,52.319008,-268,0.9784201626539979
8,1,28,5001,7,Bad Mergentheim,97980,129.96,24564,12052,12512,189,0.5,7.0,3092.3568081784906,109.5,9.773085,49.490973,-460,0.9632352941176471
14,7,29,260,260,Markkleeberg,4416,31.47,24523,11686,12837,779,0.5,5.0,3455.0,110.3,12.374495,51.280005,-1151,0.9103373062241957
3,4,54,18,18,Haren (Ems),49733,208.79,24498,12348,12150,117,0.5,2.0,2137.33638033193,110.0,7.241754,52.790479,198,1.0162962962962963
9,1,83,148,148,Waldkraiburg,84478,21.56,24488,12149,12339,1136,0.5,1.0,3262.5,110.5,12.400382,48.208301,-190,0.9846016695032013
5,9,66,4,4,Attendorn,57439,97.92,24448,12232,12216,250,0.5,4.0,2145.174582352709,110.4,7.905217,51.125217,16,1.0013097576948264
9,5,72,132,132,Herzogenaurach,91074,47.62,24404,12099,12305,512,0.5,2.0,2863.778072733723,110.5,10.883873,49.568566,-206,0.9832588378707843
3,4,55,26,26,Varel,26316,113.75,24397,11891,12506,214,0.5,3.0,2020.5,110.0,8.135174,53.394916,-615,0.9508236046697586
5,3,62,4,4,Bedburg,50181,80.42,24302,12062,12240,302,0.5,2.0,2279.689734253363,110.4,6.575238,50.994862,-178,0.9854575163398693
8,2,37,5002,28,Freudenstadt,72250,87.54,24301,11887,12414,278,0.5,3.0,2314.5,109.5,8.411368,48.463876,-527,0.9575479297567263
15,0,89,310,310,Staßfurt,39418,146.67,24293,11803,12490,166,0.5,4.0,2293.939597793782,110.7,11.581513,51.85714,-687,0.944995996797438
8,2,35,5006,85,Calw,75365,59.88,24219,12197,12022,404,0.5,3.0,2923.387111979806,109.5,8.741194,48.713372,175,1.0145566461487274
5,3,70,28,28,Übach-Palenberg,52531,26.09,24215,12166,12049,928,0.5,2.0,1977.0,110.4,6.118933,50.919252,117,1.0097103494065898
6,4,33,11,11,Riedstadt,64560,73.73,24209,12148,12061,328,0.5,3.0,2559.652127420879,109.8,8.497909,49.835419,87,1.0072133322278418
3,2,41,16,16,Sehnde,31319,103.58,24157,12146,12011,233,0.5,2.0,2554.5,110.0,9.967173,52.310452,135,1.0112396969444675
12,0,67,120,120,Eisenhüttenstadt,15890,63.48,24125,11677,12448,380,0.5,4.0,2095.939597793782,110.7,14.631279,52.145788,-771,0.9380623393316195
5,1,62,12,12,Jüchen,41363,72.04,23940,11772,12168,332,0.5,4.0,2439.5,110.4,6.503837,51.100795,-396,0.9674556213017751
3,4,51,7,7,Westerstede,26655,179.56,23854,11590,12264,133,0.5,3.0,1992.3288043815992,110.0,7.923336,53.25741,-674,0.9450424005218526
14,5,24,5114,180,Limbach-Oberfrohna,9212,50.21,23833,11689,12144,475,0.5,5.0,1402.0,110.3,12.767069,50.858593,-455,0.9625329380764164
14,5,22,80,80,Döbeln,4720,91.75,23763,11722,12041,259,0.5,4.0,1477.5862438723489,110.3,13.121007,51.121669,-319,0.9735071837887219
9,1,88,139,139,Starnberg,82319,61.85,23741,11139,12602,384,0.5,4.0,3084.262920833069,110.5,11.33837,47.996607,-1463,0.8839073162990002
1,0,54,56,56,Husum,25813,25.8,23735,11366,12369,920,0.5,2.0,2714.0,109.4,9.057178,54.477143,-1003,0.9189101786724877
6,6,35,15,15,Korbach,34497,124.11,23706,11581,12125,191,0.5,2.0,1995.1597033712096,109.8,8.873194,51.27186,-544,0.9551340206185567
6,4,35,10,10,Gelnhausen,63571,45.15,23679,11501,12178,524,0.5,3.0,2820.0,109.8,9.191488,50.203103,-677,0.9444079487600591
15,0,81,455,455,Salzwedel,29410,304.57,23543,11631,11912,77,0.5,4.0,1988.939597793782,110.7,11.153862,52.852801,-281,0.9764103425117528
1,0,60,44,44,Kaltenkirchen,24568,23.11,23538,11431,12107,1019,0.5,3.0,3086.5,109.4,9.959311,53.838257,-676,0.9441645329148427
3,1,59,17,17,Hann. Münden,34346,121.17,23530,11589,11941,194,0.5,2.0,2300.83638033193,110.0,9.654832,51.415826,-352,0.970521731848254
16,0,72,18,18,Sonneberg,96515,84.69,23507,11420,12087,278,0.5,5.0,2712.6086988041716,110.9,11.175725,50.357569,-667,0.9448167452635062
8,2,25,5005,58,Mosbach,74821,62.16,23484,11742,11742,378,0.5,4.0,2436.5,109.5,9.146596,49.352037,0,1.0
6,5,32,6,6,Dillenburg,35683,83.76,23480,11631,11849,280,0.5,2.0,2120.6597033712096,109.8,8.287324,50.739424,-218,0.9816018229386446
12,0,66,304,304,Senftenberg/Zły Komorow,1968,127.56,23405,11265,12140,183,0.5,2.0,1729.954749694436,110.7,14.004312,51.518751,-875,0.9279242174629324
5,9,70,32,32,Netphen,57250,137.39,23363,11554,11809,170,0.5,5.0,2030.0,110.4,8.098414,50.915322,-255,0.9784063002794479
8,4,36,5004,55,Leutkirch im Allgäu,88299,174.97,23345,11737,11608,133,0.5,4.0,2687.3795360294826,109.5,10.024379,47.825064,129,1.0111130254996554
5,7,62,36,36,Warburg,34414,168.84,23322,11432,11890,138,0.5,3.0,1758.5,110.4,9.145955,51.488934,-458,0.9614802354920101
15,0,85,235,235,Quedlinburg,6484,120.53,23313,11024,12289,193,0.5,5.0,1998.4320218434514,110.7,11.137136,51.790437,-1265,0.8970624135405647
9,7,72,147,147,Gersthofen,86368,34.01,23274,11561,11713,684,0.5,3.0,4450.5,110.5,10.87901,48.424752,-152,0.9870229659352856
8,1,28,131,131,Wertheim,97877,138.59,23196,11538,11658,167,0.5,2.0,2976.3946879301366,109.5,9.516823,49.759581,-120,0.9897066392177046
6,4,40,12,12,Karben,61184,43.94,23172,11453,11719,527,0.5,3.0,3781.5,109.8,8.773103,50.230102,-266,0.9773018175612254
6,4,36,1,1,Bad Soden am Taunus,65812,12.5,23162,11138,12024,1853,0.5,2.0,3949.6597033712096,109.8,8.5018,50.143796,-886,0.9263140385894877
5,5,54,68,68,Vreden,48691,135.83,23161,11820,11341,171,0.5,4.0,2061.674582352709,110.4,6.824021,52.036087,479,1.0422361343796844
8,4,35,5007,59,Überlingen,88662,58.64,23098,10809,12289,394,0.5,1.0,5249.5,109.5,9.159266,47.768547,-1480,0.8795670925217675
16,0,71,1,1,Apolda,99510,46.26,23072,11281,11791,499,0.5,2.0,2804.6314266551562,110.9,11.517678,51.025292,-510,0.9567466711898905
9,1,90,157,157,Weilheim i.OB,82362,55.5,23056,11109,11947,415,0.5,5.0,3155.2553448827384,110.5,11.144997,47.839999,-838,0.9298568678329288
9,6,72,114,114,Bad Kissingen,97688,69.92,23037,10704,12333,329,0.5,2.0,2775.278072733723,110.5,10.077888,50.200795,-1629,0.8679153490634882
16,0,63,5051,3,Bad Salzungen,36433,152.02,23013,11268,11745,151,0.5,3.0,1555.0,110.9,10.231992,50.811679,-477,0.9593869731800766
8,2,35,5007,46,Nagold,72202,63.1,22985,11420,11565,364,0.5,1.0,2756.902263880467,109.5,8.723706,48.550906,-145,0.9874621703415478
5,5,66,40,40,Lengerich,49525,90.79,22980,11440,11540,253,0.5,1.0,2109.5,110.4,7.85266,52.189765,-100,0.9913344887348353
9,6,75,141,141,Kitzingen,97318,46.99,22945,11287,11658,488,0.5,1.0,2853.7856486840537,110.5,10.159239,49.736047,-371,0.9681763595814034
3,4,53,7,7,Friesoythe,26169,247.5,22945,11474,11471,93,0.5,1.0,1824.5,110.0,7.859448,53.020613,3,1.0002615290733152
9,7,75,152,152,Senden,89250,25.21,22896,11186,11710,908,0.5,2.0,3162.278072733723,110.5,10.04419,48.323834,-524,0.9552519214346712
9,7,72,184,184,Neusäß,86356,25.22,22872,10916,11956,907,0.5,1.0,4637.5,110.5,10.831597,48.395449,-1040,0.9130143860823018
8,4,26,5005,70,Laupheim,88471,61.79,22863,11459,11404,370,0.5,3.0,2884.387111979806,109.5,9.883733,48.230018,55,1.0048228691687127
5,9,54,20,20,Herdecke,58313,22.39,22758,10789,11969,1016,0.5,6.0,2657.0,110.4,7.430129,51.3994,-1180,0.9014119809507896
15,0,86,15,15,Burg,39288,164.26,22689,11405,11284,138,0.5,4.0,2042.939597793782,110.7,11.854736,52.269775,121,1.0107231478199221
3,3,57,39,39,Rotenburg (Wümme),27356,99.06,22656,11081,11575,229,0.5,2.0,2192.83638033193,110.0,9.403666,53.110417,-494,0.9573218142548596
3,2,57,35,35,Stadthagen,31655,60.27,22643,11001,11642,376,0.5,3.0,1586.0,110.0,9.205815,52.323705,-641,0.9449407318330184
15,0,87,130,130,Eisleben,6295,143.94,22639,11038,11601,157,0.5,2.0,1733.454749694436,110.7,11.54734,51.53115,-563,0.9514697008878545
6,4,40,4,4,Büdingen,63654,122.88,22622,11313,11309,184,0.5,3.0,2289.0,109.8,9.114105,50.292506,4,1.0003537005924485
8,4,15,5002,50,Metzingen,72555,34.55,22528,11098,11430,652,0.5,1.0,2825.402263880467,109.5,9.283998,48.536849,-332,0.9709536307961505
8,3,26,5001,12,Donaueschingen,78166,104.69,22431,11141,11290,214,0.5,1.0,2652.5,109.5,8.497777,47.951414,-149,0.9868024800708591
8,1,25,5002,6,Bad Rappenau,74906,73.56,22356,11105,11251,304,0.5,3.0,2774.387111979806,109.5,9.103117,49.240303,-146,0.9870233756999378
5,7,54,48,48,Versmold,33775,85.57,22274,11181,11093,260,0.5,4.0,2098.0,110.4,8.155495,52.040049,88,1.0079329306770035
8,1,25,5004,26,Eppingen,75031,88.58,22226,11131,11095,251,0.5,2.0,2673.8946879301366,109.5,8.909012,49.137701,36,1.003244704821992
5,3,74,36,36,Radevormwald,42477,53.86,22222,10767,11455,413,0.5,2.0,2435.689734253363,110.4,7.355144,51.203463,-688,0.9399388913138368
1,0,56,41,41,Quickborn,25451,43.16,22165,10731,11434,514,0.5,2.0,3616.5,109.4,9.898034,53.728836,-703,0.9385167045653314
8,3,16,5006,56,Waldkirch,79183,48.47,22127,10725,11402,457,0.5,2.0,2832.3946879301366,109.5,7.961225,48.093941,-677,0.9406244518505525
1,0,51,44,44,Heide,25746,31.97,22114,10673,11441,692,0.5,1.0,2168.0,109.4,9.091156,54.193962,-768,0.9328730006118346
6,4,36,3,3,Eschborn,65760,12.13,22070,10986,11084,1819,0.5,5.0,4022.136975520225,109.8,8.569823,50.143505,-98,0.9911584265608083
8,2,26,84,84,Schwetzingen,68723,21.5,22062,10810,11252,1026,0.5,2.0,3800.0,109.5,8.585149,49.368098,-442,0.9607180945609669
15,0,81,135,135,Gardelegen,39638,633.72,22054,10971,11083,35,0.5,3.0,1575.9471737441054,110.7,11.394214,52.524469,-112,0.9898944329152757
5,3,62,16,16,Elsdorf,50189,66.17,22021,10812,11209,333,0.5,5.0,2307.5,110.4,6.567973,50.936059,-397,0.9645820322954769
5,7,54,12,12,Halle (Westf.),33790,69.7,21970,10840,11130,315,0.5,2.0,1911.189734253363,110.4,8.362,52.061011,-290,0.9739442946990117
14,5,24,80,80,Glauchau,8371,51.62,21951,10739,11212,425,0.5,4.0,1225.0,110.3,12.542352,50.817863,-473,0.9578130574384588
9,7,71,113,113,Aichach,86551,92.83,21908,10642,11266,236,0.5,1.0,2414.2856486840537,110.5,11.133655,48.461439,-624,0.9446121072252796
9,7,80,139,139,Sonthofen,87527,46.55,21859,10482,11377,470,0.5,3.0,4239.5,110.5,10.281195,47.51239,-895,0.9213325129647535
6,4,36,4,4,Flörsheim am Main,65439,22.99,21851,10676,11175,950,0.5,2.0,3144.6597033712096,109.8,8.430161,50.013676,-499,0.9553467561521253
3,3,58,21,21,Soltau,29614,203.77,21808,10660,11148,107,0.5,2.0,2014.5,110.0,9.837525,52.987347,-488,0.9562253318980983
8,2,26,5004,32,Hockenheim,68766,34.84,21745,10773,10972,624,0.5,5.0,3086.871960079152,109.5,8.547437,49.318938,-199,0.9818629238060518
8,1,17,5003,19,Eislingen/Fils,73054,16.41,21745,10778,10967,1325,0.5,3.0,3635.887111979806,109.5,9.707697,48.700842,-189,0.9827664812619678
3,1,53,2,2,Bad Harzburg,38667,65.52,21738,10080,11658,332,0.5,2.0,1605.0,110.0,10.560048,51.880275,-1578,0.8646423057128152
9,1,83,128,128,Mühldorf a.Inn,84453,29.42,21697,10780,10917,737,0.5,1.0,3197.7856486840537,110.5,12.524963,48.241864,-137,0.9874507648621416
5,9,74,20,20,Geseke,59590,97.89,21685,10764,10921,222,0.5,4.0,2215.674582352709,110.4,8.508216,51.640122,-157,0.9856240271037451
8,3,15,5001,6,Bad Krozingen,79189,35.69,21684,10585,11099,608,0.5,1.0,4134.5,109.5,7.699949,47.916377,-514,0.9536895215785206
12,0,71,372,372,Spremberg/Grodk,3130,202.32,21585,10446,11139,107,0.5,3.0,1723.4471737441054,110.7,14.379761,51.571789,-693,0.9377861567465661
5,1,70,52,52,Xanten,46509,72.43,21582,10535,11047,298,0.5,3.0,2296.5,110.4,6.453197,51.662258,-512,0.9536525753598262
6,4,38,13,13,Seligenstadt,63500,30.85,21568,10375,11193,699,0.5,2.0,2935.1597033712096,109.8,8.972603,50.04432,-818,0.9269186098454392
6,5,34,18,18,Stadtallendorf,35260,78.24,21552,10678,10874,275,0.5,1.0,1941.0,109.8,9.016816,50.828131,-196,0.9819753540555454
15,0,82,430,430,Zerbst/Anhalt,39261,468.94,21519,10562,10957,46,0.5,2.0,1842.954749694436,110.7,12.085469,51.964039,-395,0.9639499863101214
1,0,58,43,43,Eckernförde,24340,21.58,21507,10193,11314,997,0.5,2.0,3625.0,109.4,9.837037,54.472791,-1121,0.9009192151316953
9,7,74,135,135,Günzburg,89312,55.4,21486,10597,10889,388,0.5,1.0,2620.2856486840537,110.5,10.281413,48.45447,-292,0.9731839471025806
5,7,74,16,16,Büren,33142,170.99,21483,11006,10477,126,0.5,3.0,1521.5,110.4,8.559696,51.554935,529,1.0504915529254557
5,1,54,44,44,Rees,46459,109.86,21475,10688,10787,195,0.5,1.0,2132.6973102036936,110.4,6.39621,51.759506,-99,0.9908222860851025
3,1,59,26,26,Osterode am Harz,37520,102.54,21446,10613,10833,209,0.5,4.0,2454.321228431276,110.0,10.248155,51.728407,-220,0.9796916828210098
8,2,15,106,106,Waghäusel,68753,42.84,21444,10647,10797,501,0.5,3.0,2939.387111979806,109.5,8.514287,49.250734,-150,0.9861072520144485
12,0,72,477,477,Zossen,15806,180.39,21433,11229,10204,119,0.5,3.0,3027.0,110.7,13.449172,52.21624,1025,1.1004508036064289
9,1,79,145,145,Puchheim,82178,12.24,21420,10393,11027,1750,0.5,1.0,4065.7856486840537,110.5,11.343959,48.148172,-634,0.9425047610410809
16,0,65,67,67,Sondershausen,99706,201.21,21317,10499,10818,106,0.5,2.0,1162.0,110.9,10.871992,51.368377,-319,0.9705121094472176
13,0,71,156,156,Waren (Müritz),17192,159.46,21267,9966,11301,133,0.5,2.0,1635.2197651355164,111.0,12.686242,53.513209,-1335,0.881868861162729
9,1,89,155,155,Traunstein,83278,48.57,21251,10267,10984,438,0.5,4.0,4457.0,110.5,12.632747,47.866152,-717,0.9347232337946103
3,4,58,14,14,Wildeshausen,27793,89.7,21154,10424,10730,236,0.5,1.0,2107.8439562822605,110.0,8.431942,52.894686,-306,0.9714818266542404
8,3,25,5005,53,Schramberg,78713,80.7,21125,10588,10537,262,0.5,2.0,2056.5,109.5,8.386187,48.225467,51,1.004840087311379
5,3,74,52,52,Wipperfürth,51688,118.3,21112,10509,10603,178,0.5,3.0,2306.6821583030323,110.4,7.398693,51.117041,-94,0.991134584551542
9,1,89,154,154,Traunreut,83301,45.06,21102,10434,10668,468,0.5,1.0,3602.0,110.5,12.593399,47.961596,-234,0.9780652418447694
5,1,58,36,36,Wülfrath,42489,32.27,21100,10229,10871,654,0.5,2.0,2641.689734253363,110.4,7.033183,51.280989,-642,0.9409437954190046
7,3,34,7,7,Germersheim,76726,21.68,21099,10652,10447,973,0.5,4.0,3031.0,109.8,8.374177,49.21765,205,1.0196228582368143
6,4,32,10,10,Groß-Umstadt,64823,86.84,21028,10411,10617,242,0.5,2.0,2441.6597033712096,109.8,8.926007,49.867962,-206,0.9805971555053217
5,3,66,44,44,Zülpich,53909,101.01,21025,10364,10661,208,0.5,2.0,2346.5,110.4,6.648155,50.691294,-297,0.9721414501453898
9,7,79,194,194,Nördlingen,86720,68.09,21009,10440,10569,309,0.5,4.0,2708.262920833069,110.5,10.49277,48.847442,-129,0.9877944933295487
8,4,16,5002,25,Mössingen,72116,50.03,20900,10167,10733,418,0.5,3.0,3220.0,109.5,9.057746,48.405779,-566,0.947265443026181
